N,A,type,region,state,local,x1,x2,x3,x4,x5,x6
547,3.036997977,1,2,1,4,2.197421432,8.676226854,0.355696812,6.10310936,5.937570333,4.729497671
803,2.989821309,1,2,1,10,1.762663841,11.56309748,0.518146354,4.519900481,6.797936042,2.84913222
750,3.078277561,1,2,1,12,4.38242805,6.422414303,1.29902389,10.27739716,12.096138,9.851145506
281,3.019306726,1,2,1,17,12.16517258,11.68179054,1.217721632,15.14593188,15.93744405,6.920266628
730,3.02520381,1,2,1,4,1.886112869,9.077245076,0.616273762,8.900904179,9.391248226,3.409727097
529,3.090071728,1,2,1,17,8.743415833,14.84451389,1.589999383,13.71441212,13.61945,10.51937981
505,3.00751256,1,2,1,17,9.868707657,9.572698275,1.105570519,11.58883381,12.561608,3.389279524
402,3.019306726,1,2,1,17,9.399687767,8.206958055,1.056047464,12.7237552,13.32629172,5.937091827
388,3.202116313,1,2,1,4,1.162074208,6.058426237,0.606390784,5.646248937,5.988429546,1.910862178
900,3.054689227,1,2,1,11,2.97355183,14.49802899,1.252762756,11.39914036,13.82895152,7.669220289
334,2.966232975,1,2,1,3,2.462813199,19.50076389,0.556950068,8.357474446,20.74492121,12.55140948
452,3.001615476,1,2,1,4,1.679193656,3.280060148,0.708439967,5.153035323,5.461783409,1.17909348
737,3.078277561,1,2,1,17,8.452110767,12.02863884,1.223843653,10.12695408,9.517063141,10.65311718
485,3.090071728,2,2,1,17,2.033567286,3.111950064,0.685936672,7.604056072,8.284701252,0.432193536
866,3.084174644,2,2,1,16,1.962765098,6.044979095,0.620037438,6.598870945,6.830319214,3.193187118
620,3.048792144,2,2,1,12,2.431645155,8.265401999,1.208960645,5.987206697,7.414363146,2.254056692
400,3.095968811,2,2,1,17,2.142098171,1.071790497,0.707057857,1.93394334,1.538001248,2.941129616
362,3.04289506,2,2,1,17,1.543316238,1.013906833,0.683899439,3.647822135,3.936532497,0.256906217
625,3.160836729,2,2,1,17,5.933354259,6.382306814,0.880376336,5.229020357,5.914909005,0.268831015
510,3.060586311,2,2,1,13,5.432045341,25.41000938,0.103113562,9.623519659,15.35999346,32.31825113
958,3.066483394,2,2,1,12,4.622149563,11.23722343,1.80072971,10.32955551,12.58360519,5.16601758
606,3.031100893,2,2,1,16,2.287544608,3.37465626,0.653481879,8.83362031,8.996873617,4.30102098
171,2.954438808,2,2,1,11,0.453856926,1.022845966,1.267518571,2.811522573,3.586979628,0.535966732
342,3.04289506,2,2,1,11,1.071466696,1.545352936,1.282422064,4.926386738,6.083362007,2.126903391
196,3.467485069,2,2,1,16,3.965019846,19.10124016,0.553204582,13.61055126,13.43416348,10.7147831
910,3.3849259,2,2,1,16,3.503485521,15.29038582,0.525414233,13.36569532,13.05545108,11.24649302
793,3.219807564,2,2,1,11,1.798818707,7.904327472,1.258501889,7.761519551,9.45942378,4.805450737
434,3.101865895,3,2,1,17,3.699453081,1.297882863,0.945333849,1.372057199,0.488732606,5.478082453
123,3.21391048,3,2,1,16,8.640053463,3.157362938,0.574565127,8.952878952,8.729496765,7.559938812
277,3.054689227,3,2,1,16,2.167130828,1.62288518,0.648803652,7.493247271,6.992902279,7.029437304
149,3.072380477,3,2,1,16,5.576542241,2.809375087,0.71633623,5.265592166,5.899366719,0.495841776
392,3.314160899,3,2,1,11,1.68805337,6.482598752,1.253524678,6.595034281,7.913142708,5.952876939
556,3.414411318,3,2,1,1,2.321910869,2.365770734,0.35192616,2.123718428,2.665835479,7.354370781
319,2.954438808,3,2,1,16,2.229132295,-0.227814871,0.656502215,7.373242974,7.068962216,5.891800404
340,3.119557145,3,2,1,16,2.951658535,5.551242193,0.628491394,9.92704258,9.435313416,9.04383297
244,2.989821309,3,2,1,17,4.362005413,1.88430655,0.993691912,4.011894941,4.587141871,-0.001313533
199,3.084174644,3,2,1,17,3.872086803,1.895671368,0.811193903,6.050155878,6.722853899,0.979762971
502,3.036997977,3,2,1,17,0.02250728,0.103594091,0.724359025,1.04373644,1.104528969,0.004369939
220,3.019306726,3,2,1,11,3.149566352,2.838138127,1.194423722,5.328139782,6.433950543,4.467261553
64,3.084174644,4,2,1,17,8.104283571,12.87101841,0.958882819,12.70713115,12.34730673,11.0587163
398,3.408514234,4,2,1,5,1.520876613,1.4836224,0.737578535,2.57602117,4.494240399,17.4287581
97,3.001615476,4,2,1,16,2.089284229,3.268904652,0.472605956,5.448763657,5.896733189,1.559666657
76,3.066483394,4,2,1,16,9.541395426,3.279939234,0.601057913,9.722365856,10.48928523,3.059037387
97,3.048792144,4,2,1,16,9.738929987,12.35649204,0.508597622,10.07713318,9.89387846,8.199371457
114,3.090071728,4,2,1,16,7.507671913,1.180551668,0.670956597,6.351007462,6.869182189,1.800903738
113,3.04289506,4,2,1,16,5.450483894,1.461904775,0.719013482,2.760683393,2.672567725,2.334069067
69,2.983924226,4,2,1,16,11.10376472,7.326801395,0.291202097,9.534328079,8.296311569,13.34794445
187,3.225704647,4,2,1,17,4.346521378,2.795698966,0.747303017,7.657646775,8.413669825,1.7279872
325,3.131351312,4,2,1,12,1.426404747,0.649364932,1.434609608,0.876828329,1.033977454,0.253812852
313,3.320057982,4,2,1,1,1.477125682,0.706238315,0.357051728,1.475615572,1.756001087,5.023796734
165,3.060586311,4,2,1,13,4.432046954,5.567966908,0.045443326,5.194380665,8.298209604,19.76270644
245,3.225704647,5,2,1,8,0.498794851,4.731607177,0.792692756,0.928952044,1.730707991,1.084052432
198,3.019306726,5,2,1,4,-0.184475955,0.026408747,0.855358637,0.092317554,0.080101295,-0.109472671
162,3.095968811,5,2,1,14,-0.101539884,-0.321730296,0.567764177,0.134429999,0.424928968,-0.143705476
313,3.084174644,5,2,1,2,-0.087741565,1.372963826,0.62622239,0.151606061,0.617374808,0.02763105
672,3.00751256,5,2,1,10,-0.117619245,0.677021686,0.497876468,-0.090676931,-0.167085516,-0.096680589
227,3.072380477,5,2,1,7,2.190570027,9.760224104,0.880677257,7.063996553,16.792243,9.731297731
471,2.942644642,5,2,1,4,-0.172543309,1.098057787,0.78552558,0.090153282,0.072440258,-0.05841395
271,3.113660062,5,2,1,2,-0.190683364,-0.19200635,0.609765166,-0.004211444,0.003088647,-0.117751095
246,3.060586311,5,2,1,2,-0.17871055,0.631046763,0.480687381,0.304008925,0.595157553,-0.093197739
376,3.160836729,5,2,1,15,-0.175836653,1.383024851,0.6994855,1.294954658,3.742022514,-0.013771891
378,3.031100893,5,2,1,8,0.263423764,-0.204072898,0.851705535,-0.006702275,0.136189601,-0.152183983
277,2.848291306,5,2,1,17,-0.150571669,0.409647502,1.388397392,1.433666269,1.570146879,-0.070865951
343,3.019306726,5,2,1,11,-0.066069861,0.616442588,0.983734261,0.133817198,0.182970103,-0.026873987
231,2.995718393,5,2,1,2,-0.200516696,-0.198003544,0.649574494,-0.018676939,0.223533227,-0.071293633
191,2.948541725,5,2,1,7,-0.058150735,1.663471842,0.635172583,1.503325959,3.886305253,1.411318719
378,3.04289506,5,2,1,7,-0.081625341,-0.284937217,0.539715129,-0.100090042,0.013624822,-0.120824378
